"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR026473","ERR026474","ERR026478","ERR026481","ERR026482","ERR029206","ERR029207"
"mca_1","","Mycothiol S-conjugate amidase","7","7","1","14","95","","","","671","671","671","IABJFMEL_02546","FNKIIBCC_02593","KLCLGNMD_02941","LJFBHMDO_02793","FJKEEGCC_02721","LCKBFCAL_02982","GLGINFII_03055"
"pucR_1","","Purine catabolism regulatory protein","7","7","1","1","279","","","","1616","1616","1616","IABJFMEL_01511","FNKIIBCC_01489","KLCLGNMD_01875","LJFBHMDO_01693","FJKEEGCC_01575","LCKBFCAL_02182","GLGINFII_01339"
"vapC3_1","","Ribonuclease VapC3","7","7","1","15","38","","","","389","389","389","IABJFMEL_01395","FNKIIBCC_01406","KLCLGNMD_02426","LJFBHMDO_01832","FJKEEGCC_02144","LCKBFCAL_01289","GLGINFII_01425"
"group_1236","","hypothetical protein","7","7","1","1","408","","","","860","860","860","IABJFMEL_02021","FNKIIBCC_01292","KLCLGNMD_00967","LJFBHMDO_01608","FJKEEGCC_01414","LCKBFCAL_00624","GLGINFII_00816"
"uvrB","","UvrABC system protein B","7","7","1","6","135","","","","2276","2276","2276","IABJFMEL_01010","FNKIIBCC_00944","KLCLGNMD_01281","LJFBHMDO_01240","FJKEEGCC_00961","LCKBFCAL_01206","GLGINFII_01953"
"group_1238","","hypothetical protein","7","7","1","54","5","","","","602","602","602","IABJFMEL_03926","FNKIIBCC_03884","KLCLGNMD_03969","LJFBHMDO_03928","FJKEEGCC_03893","LCKBFCAL_03952","GLGINFII_03962"
"moeZ_2","","putative adenylyltransferase/sulfurtransferase MoeZ","7","7","1","2","57","","","","1178","1178","1178","IABJFMEL_02251","FNKIIBCC_02436","KLCLGNMD_02608","LJFBHMDO_00466","FJKEEGCC_02382","LCKBFCAL_02685","GLGINFII_02855"
"cenA","","Endoglucanase A","7","7","1","11","85","","","","923","1013","935","IABJFMEL_01874","FNKIIBCC_02843","KLCLGNMD_01773","LJFBHMDO_02342","FJKEEGCC_02922","LCKBFCAL_00926","GLGINFII_02122"
"umaA","","S-adenosylmethionine-dependent methyltransferase UmaA","7","7","1","4","50","","","","860","860","860","IABJFMEL_02789","FNKIIBCC_00503","KLCLGNMD_00406","LJFBHMDO_00582","FJKEEGCC_00713","LCKBFCAL_00844","GLGINFII_00470"
"group_1241","","Ribonuclease VapC43","7","7","1","9","114","","","","443","443","443","IABJFMEL_03046","FNKIIBCC_03034","KLCLGNMD_03196","LJFBHMDO_01023","FJKEEGCC_01097","LCKBFCAL_03227","GLGINFII_03304"
"group_1242","","hypothetical protein","7","7","1","1","517","","","","737","737","737","IABJFMEL_00794","FNKIIBCC_00052","KLCLGNMD_00614","LJFBHMDO_00860","FJKEEGCC_00554","LCKBFCAL_01117","GLGINFII_01153"
"group_1243","","Putative monooxygenase","7","7","1","5","126","","","","1130","1130","1130","IABJFMEL_01081","FNKIIBCC_01623","KLCLGNMD_02013","LJFBHMDO_01956","FJKEEGCC_00282","LCKBFCAL_02116","GLGINFII_02369"
"group_1244","","putative HTH-type transcriptional regulator","7","7","1","11","25","","","","770","770","770","IABJFMEL_02627","FNKIIBCC_02555","KLCLGNMD_02888","LJFBHMDO_02730","FJKEEGCC_02683","LCKBFCAL_00967","GLGINFII_03079"
"group_1245","","Antitoxin VapB33","7","7","1","3","165","","","","269","269","269","IABJFMEL_02235","FNKIIBCC_03082","KLCLGNMD_02642","LJFBHMDO_00663","FJKEEGCC_03099","LCKBFCAL_03346","GLGINFII_01643"
"lppC_1","","Putative lipoprotein LppC","7","7","1","5","91","","","","605","605","605","IABJFMEL_01062","FNKIIBCC_03486","KLCLGNMD_03569","LJFBHMDO_03487","FJKEEGCC_00264","LCKBFCAL_03678","GLGINFII_03707"
"group_1247","","hypothetical protein","7","7","1","4","3","","","","548","548","548","IABJFMEL_03010","FNKIIBCC_02992","KLCLGNMD_03157","LJFBHMDO_03078","FJKEEGCC_03822","LCKBFCAL_00891","GLGINFII_00517"
"group_1248","","hypothetical protein","7","7","1","20","48","","","","314","314","314","IABJFMEL_01584","FNKIIBCC_01672","KLCLGNMD_01949","LJFBHMDO_01768","FJKEEGCC_01633","LCKBFCAL_02017","GLGINFII_02220"
"tetR_2","","Tetracycline repressor protein class A from transposon 1721","7","7","1","26","28","","","","785","785","785","IABJFMEL_02290","FNKIIBCC_02365","KLCLGNMD_02287","LJFBHMDO_02549","FJKEEGCC_01988","LCKBFCAL_02366","GLGINFII_02545"
"rplV","","50S ribosomal protein L22","7","7","1","3","40","","","","593","593","593","IABJFMEL_02877","FNKIIBCC_02882","KLCLGNMD_03095","LJFBHMDO_02958","FJKEEGCC_02994","LCKBFCAL_03211","GLGINFII_01681"
"msrB","","Peptide methionine sulfoxide reductase MsrB","7","7","1","51","6","","","","410","410","410","IABJFMEL_03987","FNKIIBCC_03974","KLCLGNMD_03989","LJFBHMDO_03983","FJKEEGCC_03976","LCKBFCAL_03887","GLGINFII_03873"
"ilvB2","","Putative acetolactate synthase large subunit IlvB2","7","7","1","1","292","","","","1673","1673","1673","IABJFMEL_03894","FNKIIBCC_02374","KLCLGNMD_02686","LJFBHMDO_01128","FJKEEGCC_02538","LCKBFCAL_02778","GLGINFII_03941"
"irtB","","Iron import ATP-binding/permease protein IrtB","7","7","1","26","32","","","","1739","1739","1739","IABJFMEL_02294","FNKIIBCC_02361","KLCLGNMD_02291","LJFBHMDO_02553","FJKEEGCC_01984","LCKBFCAL_02370","GLGINFII_02541"
"rpsN","","30S ribosomal protein S14","7","7","1","14","21","","","","305","305","305","IABJFMEL_02326","FNKIIBCC_01895","KLCLGNMD_02868","LJFBHMDO_02307","FJKEEGCC_02448","LCKBFCAL_02926","GLGINFII_02382"
"eccA1","","ESX-1 secretion system protein EccA1","7","7","1","30","35","","","","1721","1721","1721","IABJFMEL_02493","FNKIIBCC_02502","KLCLGNMD_02812","LJFBHMDO_02691","FJKEEGCC_02553","LCKBFCAL_02833","GLGINFII_03015"
"nasD","","Nitrite reductase [NAD(P)H]","7","7","1","1","143","","","","2510","2510","2510","IABJFMEL_03016","FNKIIBCC_02141","KLCLGNMD_00176","LJFBHMDO_00026","FJKEEGCC_00137","LCKBFCAL_02286","GLGINFII_00138"
"group_1257","","Putative antitoxin VapB45","7","7","1","2","303","","","","716","716","716","IABJFMEL_00618","FNKIIBCC_00567","KLCLGNMD_00334","LJFBHMDO_01935","FJKEEGCC_01709","LCKBFCAL_00053","GLGINFII_00286"
"cysQ","","3'-phosphoadenosine 5'-phosphate phosphatase","7","7","1","27","7","","","","803","803","803","IABJFMEL_02444","FNKIIBCC_03738","KLCLGNMD_03797","LJFBHMDO_03721","FJKEEGCC_03690","LCKBFCAL_03145","GLGINFII_03244"
"group_1259","","hypothetical protein","7","7","1","1","594","","","","410","410","410","IABJFMEL_00114","FNKIIBCC_00130","KLCLGNMD_00057","LJFBHMDO_00144","FJKEEGCC_00019","LCKBFCAL_00446","GLGINFII_00019"
"group_126","","PE-PGRS family protein PE_PGRS11","7","7","1","21","46","","","","1526","1754","1688","IABJFMEL_01907","FNKIIBCC_02030","KLCLGNMD_02359","LJFBHMDO_03859","FJKEEGCC_03840","LCKBFCAL_02653","GLGINFII_02779"
"adoK","","Adenosine kinase","7","7","1","2","200","","","","974","974","974","IABJFMEL_00866","FNKIIBCC_00838","KLCLGNMD_00228","LJFBHMDO_00912","FJKEEGCC_00889","LCKBFCAL_00159","GLGINFII_00180"
"gyrB1","","DNA gyrase subunit B","7","7","1","11","4","","","","2144","2144","2144","IABJFMEL_02602","FNKIIBCC_02531","KLCLGNMD_02912","LJFBHMDO_02707","FJKEEGCC_02660","LCKBFCAL_00992","GLGINFII_03103"
"group_1262","","putative ABC transporter ATP-binding protein","7","7","1","2","325","","","","2093","2093","2093","IABJFMEL_00643","FNKIIBCC_00590","KLCLGNMD_00358","LJFBHMDO_02899","FJKEEGCC_02797","LCKBFCAL_00030","GLGINFII_00309"
"hyfB_1","","Hydrogenase-4 component B","7","7","1","11","60","","","","1466","1466","1466","IABJFMEL_03763","FNKIIBCC_03015","KLCLGNMD_01748","LJFBHMDO_03803","FJKEEGCC_03052","LCKBFCAL_00901","GLGINFII_02097"
"cobN","","Aerobic cobaltochelatase subunit CobN","7","7","1","14","26","","","","3584","3584","3584","IABJFMEL_02331","FNKIIBCC_01900","KLCLGNMD_02863","LJFBHMDO_02301","FJKEEGCC_02443","LCKBFCAL_02921","GLGINFII_02387"
"ddl","","D-alanine--D-alanine ligase","7","7","1","13","38","","","","1076","1076","1076","IABJFMEL_00041","FNKIIBCC_00254","KLCLGNMD_00706","LJFBHMDO_00203","FJKEEGCC_00203","LCKBFCAL_00243","GLGINFII_00559"
"group_1266","","hypothetical protein","7","7","1","40","13","","","","518","518","518","IABJFMEL_03372","FNKIIBCC_03385","KLCLGNMD_03282","LJFBHMDO_03408","FJKEEGCC_03222","LCKBFCAL_03388","GLGINFII_03390"
"argG","","Argininosuccinate synthase","7","7","1","6","166","","","","1196","1196","1196","IABJFMEL_02916","FNKIIBCC_02924","KLCLGNMD_01255","LJFBHMDO_01184","FJKEEGCC_03003","LCKBFCAL_03257","GLGINFII_03281"
"deoC","","Deoxyribose-phosphate aldolase","7","7","1","4","40","","","","674","674","674","IABJFMEL_02799","FNKIIBCC_00513","KLCLGNMD_00397","LJFBHMDO_00592","FJKEEGCC_00723","LCKBFCAL_00853","GLGINFII_00479"
"group_1269","","hypothetical protein","7","7","1","56","6","","","","260","260","260","IABJFMEL_04039","FNKIIBCC_04047","KLCLGNMD_04047","LJFBHMDO_04044","FJKEEGCC_04024","LCKBFCAL_04039","GLGINFII_04039"
"group_127","","putative HIT-like protein","7","7","1","21","52","","","","401","443","407","IABJFMEL_01914","FNKIIBCC_02023","KLCLGNMD_02352","LJFBHMDO_02745","FJKEEGCC_02619","LCKBFCAL_02646","GLGINFII_02786"
"group_1270","","hypothetical protein","7","7","1","4","92","","","","311","311","311","IABJFMEL_03770","FNKIIBCC_02812","KLCLGNMD_00534","LJFBHMDO_02622","FJKEEGCC_02459","LCKBFCAL_01584","GLGINFII_00342"
"group_1271","","hypothetical protein","7","7","1","3","29","","","","248","248","248","IABJFMEL_02576","FNKIIBCC_01444","KLCLGNMD_01830","LJFBHMDO_00630","FJKEEGCC_01517","LCKBFCAL_01858","GLGINFII_02182"
"group_1272","","hypothetical protein","7","7","1","2","76","","","","551","551","551","IABJFMEL_00568","FNKIIBCC_01099","KLCLGNMD_01240","LJFBHMDO_00446","FJKEEGCC_01041","LCKBFCAL_01351","GLGINFII_00987"
"group_1273","","hypothetical protein","7","7","1","2","296","","","","923","923","923","IABJFMEL_00611","FNKIIBCC_00560","KLCLGNMD_00326","LJFBHMDO_01928","FJKEEGCC_01717","LCKBFCAL_00061","GLGINFII_00278"
"eccD1_2","","ESX-1 secretion system protein EccD1","7","7","1","32","16","","","","1403","1403","1403","IABJFMEL_02826","FNKIIBCC_02864","KLCLGNMD_03011","LJFBHMDO_02877","FJKEEGCC_02941","LCKBFCAL_03066","GLGINFII_03165"
"group_1275","","hypothetical protein","7","7","1","65","3","","","","260","260","260","IABJFMEL_04076","FNKIIBCC_04080","KLCLGNMD_04074","LJFBHMDO_04073","FJKEEGCC_04071","LCKBFCAL_04073","GLGINFII_04070"
"group_1276","","hypothetical protein","7","7","1","25","38","","","","830","830","830","IABJFMEL_01770","FNKIIBCC_02260","KLCLGNMD_02190","LJFBHMDO_02213","FJKEEGCC_02332","LCKBFCAL_02249","GLGINFII_02439"
"group_1277","","(2E,6E)-farnesyl diphosphate synthase","7","7","1","1","50","","","","1079","1079","1079","IABJFMEL_03868","FNKIIBCC_03563","KLCLGNMD_03592","LJFBHMDO_03497","FJKEEGCC_00625","LCKBFCAL_02944","GLGINFII_03758"
"embA","","putative arabinosyltransferase A","7","7","1","7","13","","","","3284","3284","3284","IABJFMEL_00346","FNKIIBCC_00808","KLCLGNMD_00765","LJFBHMDO_00261","FJKEEGCC_00514","LCKBFCAL_00302","GLGINFII_00614"
"group_1279","","hypothetical protein","7","7","1","14","10","","","","443","443","443","IABJFMEL_02350","FNKIIBCC_01919","KLCLGNMD_04065","LJFBHMDO_02281","FJKEEGCC_02423","LCKBFCAL_04064","GLGINFII_04058"
"menB","","1,4-dihydroxy-2-naphthoyl-CoA synthase","7","7","1","24","17","","","","902","944","914","IABJFMEL_01984","FNKIIBCC_02104","KLCLGNMD_02401","LJFBHMDO_02445","FJKEEGCC_02188","LCKBFCAL_02427","GLGINFII_02597"
"group_1280","","hypothetical protein","7","7","1","11","31","","","","143","143","143","IABJFMEL_02633","FNKIIBCC_02561","KLCLGNMD_02882","LJFBHMDO_02736","FJKEEGCC_02689","LCKBFCAL_00961","GLGINFII_03073"
"greA_2","","Transcription elongation factor GreA","7","7","1","43","8","","","","494","494","494","IABJFMEL_03456","FNKIIBCC_03470","KLCLGNMD_03474","LJFBHMDO_03470","FJKEEGCC_03428","LCKBFCAL_03621","GLGINFII_03622"
"ruvC","","Crossover junction endodeoxyribonuclease RuvC","7","7","1","41","4","","","","566","566","566","IABJFMEL_03697","FNKIIBCC_03321","KLCLGNMD_03434","LJFBHMDO_03337","FJKEEGCC_03295","LCKBFCAL_03509","GLGINFII_03516"
"bpoC_3","","Putative non-heme bromoperoxidase BpoC","7","7","1","58","1","","","","764","764","764","IABJFMEL_04020","FNKIIBCC_04010","KLCLGNMD_04019","LJFBHMDO_04027","FJKEEGCC_04031","LCKBFCAL_04019","GLGINFII_04009"
"erp","","Exported repetitive protein","7","7","1","8","88","","","","854","854","854","IABJFMEL_01374","FNKIIBCC_01267","KLCLGNMD_01728","LJFBHMDO_01363","FJKEEGCC_01269","LCKBFCAL_01995","GLGINFII_02077"
"group_1285","","hypothetical protein","7","7","1","12","23","","","","200","200","200","IABJFMEL_00691","FNKIIBCC_00638","KLCLGNMD_01405","LJFBHMDO_00782","FJKEEGCC_00810","LCKBFCAL_01014","GLGINFII_01282"
"oatA_3","","O-acetyltransferase OatA","7","7","1","34","31","","","","2057","2057","2057","IABJFMEL_03410","FNKIIBCC_02192","KLCLGNMD_02529","LJFBHMDO_02477","FJKEEGCC_02218","LCKBFCAL_02501","GLGINFII_02627"
"group_1287","","hypothetical protein","7","7","1","1","463","","","","758","758","758","IABJFMEL_03237","FNKIIBCC_01349","KLCLGNMD_01022","LJFBHMDO_01552","FJKEEGCC_01358","LCKBFCAL_00679","GLGINFII_00871"
"group_1288","","hypothetical protein","7","7","1","8","119","","","","776","776","776","IABJFMEL_01344","FNKIIBCC_01237","KLCLGNMD_01698","LJFBHMDO_01333","FJKEEGCC_01299","LCKBFCAL_01965","GLGINFII_02047"
"group_1289","","hypothetical protein","7","7","1","12","41","","","","1238","1238","1238","IABJFMEL_00709","FNKIIBCC_00656","KLCLGNMD_01387","LJFBHMDO_00764","FJKEEGCC_00792","LCKBFCAL_01032","GLGINFII_01264"
"ubiB_1","","putative protein kinase UbiB","7","7","1","1","392","","","","1466","1988","1540","IABJFMEL_02002","FNKIIBCC_03804","KLCLGNMD_00948","LJFBHMDO_03828","FJKEEGCC_03868","LCKBFCAL_00605","GLGINFII_00797"
"group_1290","","Laccase domain protein","7","7","1","27","32","","","","803","803","803","IABJFMEL_02466","FNKIIBCC_03502","KLCLGNMD_03604","LJFBHMDO_03285","FJKEEGCC_03330","LCKBFCAL_03167","GLGINFII_03266"
"rnc","","Ribonuclease 3","7","7","1","13","85","","","","722","722","722","IABJFMEL_00096","FNKIIBCC_00309","KLCLGNMD_00761","LJFBHMDO_00257","FJKEEGCC_00257","LCKBFCAL_00298","GLGINFII_04013"
"aofH","","Putative flavin-containing monoamine oxidase AofH","7","7","1","20","10","","","","1364","1364","1364","IABJFMEL_01549","FNKIIBCC_01637","KLCLGNMD_01914","LJFBHMDO_01733","FJKEEGCC_01598","LCKBFCAL_02052","GLGINFII_02255"
"fbiB_2","","Coenzyme F420:L-glutamate ligase","7","7","1","49","2","","","","644","644","644","IABJFMEL_03506","FNKIIBCC_03543","KLCLGNMD_03632","LJFBHMDO_03556","FJKEEGCC_03532","LCKBFCAL_03717","GLGINFII_03784"
"group_1294","","hypothetical protein","7","7","1","5","154","","","","2099","2099","2099","IABJFMEL_01109","FNKIIBCC_01595","KLCLGNMD_02041","LJFBHMDO_01984","FJKEEGCC_00310","LCKBFCAL_02144","GLGINFII_02341"
"group_1295","","hypothetical protein","7","7","1","1","302","","","","605","605","605","IABJFMEL_02706","FNKIIBCC_02384","KLCLGNMD_02696","LJFBHMDO_01118","FJKEEGCC_02528","LCKBFCAL_02768","GLGINFII_01325"
"group_1296","","putative enoyl-CoA hydratase echA14","7","7","1","5","61","","","","770","770","770","IABJFMEL_01198","FNKIIBCC_00966","KLCLGNMD_01484","LJFBHMDO_01550","FJKEEGCC_00339","LCKBFCAL_03422","GLGINFII_01598"
"group_1297","","hypothetical protein","7","7","1","1","475","","","","296","296","296","IABJFMEL_03626","FNKIIBCC_00010","KLCLGNMD_00656","LJFBHMDO_03562","FJKEEGCC_03543","LCKBFCAL_03452","GLGINFII_01195"
"group_1298","","Putative permease","7","7","1","13","57","","","","1220","1220","1220","IABJFMEL_00060","FNKIIBCC_00273","KLCLGNMD_00725","LJFBHMDO_00222","FJKEEGCC_00222","LCKBFCAL_00262","GLGINFII_00578"
"lcfB_3","","Long-chain-fatty-acid--CoA ligase","7","7","1","24","20","","","","1616","1616","1616","IABJFMEL_01981","FNKIIBCC_02107","KLCLGNMD_02398","LJFBHMDO_02442","FJKEEGCC_02185","LCKBFCAL_02424","GLGINFII_02594"
"group_130","","hypothetical protein","7","7","1","1","438","","","","170","311","290","IABJFMEL_02052","FNKIIBCC_01323","KLCLGNMD_00997","LJFBHMDO_01577","FJKEEGCC_01383","LCKBFCAL_00654","GLGINFII_00846"
"fabD","","Malonyl CoA-acyl carrier protein transacylase","7","7","1","2","243","","","","908","908","908","IABJFMEL_00911","FNKIIBCC_00883","KLCLGNMD_00273","LJFBHMDO_00957","FJKEEGCC_00844","LCKBFCAL_00114","GLGINFII_00225"
"group_1301","","PPE family protein PPE34","7","7","1","44","3","","","","551","551","551","IABJFMEL_04086","FNKIIBCC_03240","KLCLGNMD_04085","LJFBHMDO_04083","FJKEEGCC_04083","LCKBFCAL_03441","GLGINFII_03445"
"group_1302","","hypothetical protein","7","7","1","10","22","","","","356","356","356","IABJFMEL_00437","FNKIIBCC_00397","KLCLGNMD_01110","LJFBHMDO_01658","FJKEEGCC_01449","LCKBFCAL_00701","GLGINFII_00894"
"group_1303","","hypothetical protein","7","7","1","4","146","","","","719","719","719","IABJFMEL_04072","FNKIIBCC_00427","KLCLGNMD_00482","LJFBHMDO_00506","FJKEEGCC_00637","LCKBFCAL_01636","GLGINFII_00394"
"mazE7","","Antitoxin MazE7","7","7","1","14","27","","","","152","152","152","IABJFMEL_02332","FNKIIBCC_01901","KLCLGNMD_02862","LJFBHMDO_02300","FJKEEGCC_02442","LCKBFCAL_02920","GLGINFII_02388"
"lipF_3","","Carboxylesterase LipF","7","7","1","43","12","","","","1067","1067","1067","IABJFMEL_03452","FNKIIBCC_03466","KLCLGNMD_03470","LJFBHMDO_03466","FJKEEGCC_03432","LCKBFCAL_03617","GLGINFII_03618"
"group_1306","","hypothetical protein","7","7","1","1","79","","","","503","503","503","IABJFMEL_00180","FNKIIBCC_00195","KLCLGNMD_00122","LJFBHMDO_00079","FJKEEGCC_00084","LCKBFCAL_00511","GLGINFII_00084"
"tuf_1","","Elongation factor Tu","7","7","1","16","72","","","","269","269","269","IABJFMEL_01653","FNKIIBCC_01778","KLCLGNMD_02128","LJFBHMDO_02072","FJKEEGCC_01851","LCKBFCAL_01697","GLGINFII_01725"
"group_1308","","putative phosphomannomutase","7","7","1","2","179","","","","1604","1604","1604","IABJFMEL_00481","FNKIIBCC_01963","KLCLGNMD_01154","LJFBHMDO_03228","FJKEEGCC_02029","LCKBFCAL_00180","GLGINFII_01073"
"group_1309","","PE-PGRS family protein PE_PGRS16","7","7","1","1","266","","","","926","926","926","IABJFMEL_01524","FNKIIBCC_01502","KLCLGNMD_01888","LJFBHMDO_01706","FJKEEGCC_01562","LCKBFCAL_02195","GLGINFII_01352"
"moaR1","","Transcriptional regulatory protein MoaR1","7","7","1","54","9","","","","893","893","893","IABJFMEL_03922","FNKIIBCC_03888","KLCLGNMD_03965","LJFBHMDO_03924","FJKEEGCC_03897","LCKBFCAL_03956","GLGINFII_03958"
"group_1311","","hypothetical protein","7","7","1","19","20","","","","251","251","251","IABJFMEL_03218","FNKIIBCC_03221","KLCLGNMD_01570","LJFBHMDO_01277","FJKEEGCC_01136","LCKBFCAL_01797","GLGINFII_01858"
"radD","","Putative DNA repair helicase RadD","7","7","1","31","12","","","","4820","4820","4820","IABJFMEL_02651","FNKIIBCC_02630","KLCLGNMD_02964","LJFBHMDO_02844","FJKEEGCC_02744","LCKBFCAL_03019","GLGINFII_03132"
"pgk","","Phosphoglycerate kinase","7","7","1","6","76","","","","1238","1238","1238","IABJFMEL_02058","FNKIIBCC_02079","KLCLGNMD_02509","LJFBHMDO_01171","FJKEEGCC_02275","LCKBFCAL_02521","GLGINFII_02649"
"group_1314","","hypothetical protein","7","7","1","60","2","","","","1511","1511","1511","IABJFMEL_04030","FNKIIBCC_04042","KLCLGNMD_04037","LJFBHMDO_04041","FJKEEGCC_04048","LCKBFCAL_04055","GLGINFII_04031"
"group_1315","","Putative aminoglycoside phosphotransferase","7","7","1","20","12","","","","1136","1136","1136","IABJFMEL_01551","FNKIIBCC_01639","KLCLGNMD_01916","LJFBHMDO_01735","FJKEEGCC_01600","LCKBFCAL_02050","GLGINFII_02253"
"bioF2","","Putative 8-amino-7-oxononanoate synthase 2","7","7","1","11","34","","","","2315","2315","2315","IABJFMEL_02636","FNKIIBCC_02564","KLCLGNMD_02879","LJFBHMDO_02739","FJKEEGCC_02692","LCKBFCAL_00958","GLGINFII_03070"
"ynaI","","Low conductance mechanosensitive channel YnaI","7","7","1","5","14","","","","800","800","800","IABJFMEL_01148","FNKIIBCC_01016","KLCLGNMD_01434","LJFBHMDO_03888","FJKEEGCC_03859","LCKBFCAL_02453","GLGINFII_01548"
"rpsB","","30S ribosomal protein S2","7","7","1","9","48","","","","863","863","863","IABJFMEL_02430","FNKIIBCC_02482","KLCLGNMD_02792","LJFBHMDO_01004","FJKEEGCC_01078","LCKBFCAL_02731","GLGINFII_02938"
"gap","","Glyceraldehyde-3-phosphate dehydrogenase","7","7","1","6","75","","","","1019","1019","1019","IABJFMEL_02059","FNKIIBCC_02078","KLCLGNMD_02508","LJFBHMDO_01170","FJKEEGCC_02274","LCKBFCAL_02522","GLGINFII_02650"
"group_132","","hypothetical protein","7","7","1","23","11","","","","578","644","587","IABJFMEL_02108","FNKIIBCC_02247","KLCLGNMD_02584","LJFBHMDO_02530","FJKEEGCC_02290","LCKBFCAL_02600","GLGINFII_02740"
"relG","","Toxin RelG","7","7","1","9","109","","","","251","251","251","IABJFMEL_03051","FNKIIBCC_03039","KLCLGNMD_03201","LJFBHMDO_01028","FJKEEGCC_01102","LCKBFCAL_03232","GLGINFII_03309"
"group_1321","plsC_3","1-acyl-sn-glycerol-3-phosphate acyltransferase","7","7","1","8","93","","","","785","785","785","IABJFMEL_01369","FNKIIBCC_01262","KLCLGNMD_01723","LJFBHMDO_01358","FJKEEGCC_01274","LCKBFCAL_01990","GLGINFII_02072"
"group_1322","","hypothetical protein","7","7","1","3","107","","","","425","425","425","IABJFMEL_02192","FNKIIBCC_03685","KLCLGNMD_03780","LJFBHMDO_03676","FJKEEGCC_03626","LCKBFCAL_03749","GLGINFII_03807"
"thrB","","Homoserine kinase","7","7","1","8","59","","","","950","950","950","IABJFMEL_03118","FNKIIBCC_03130","KLCLGNMD_03334","LJFBHMDO_03195","FJKEEGCC_03173","LCKBFCAL_01485","GLGINFII_01519"
"mcbR","","HTH-type transcriptional regulator McbR","7","7","1","1","20","","","","815","815","815","IABJFMEL_00140","FNKIIBCC_00156","KLCLGNMD_00083","LJFBHMDO_00118","FJKEEGCC_00045","LCKBFCAL_00472","GLGINFII_00045"
"phnD","","Phosphate-import protein PhnD","7","7","1","15","71","","","","824","824","824","IABJFMEL_01440","FNKIIBCC_01361","KLCLGNMD_03888","LJFBHMDO_01787","FJKEEGCC_03881","LCKBFCAL_01334","GLGINFII_01380"
"group_1326","","hypothetical protein","7","7","1","2","65","","","","1223","1223","1223","IABJFMEL_02243","FNKIIBCC_02444","KLCLGNMD_02600","LJFBHMDO_00458","FJKEEGCC_02374","LCKBFCAL_02693","GLGINFII_02863"
"group_1327","","hypothetical protein","7","7","1","6","8","","","","332","332","332","IABJFMEL_03170","FNKIIBCC_03175","KLCLGNMD_03879","LJFBHMDO_03030","FJKEEGCC_03417","LCKBFCAL_03312","GLGINFII_02876"
"lipY_3","","Triacylglycerol lipase","7","7","1","1","263","","","","302","302","302","IABJFMEL_01528","FNKIIBCC_01506","KLCLGNMD_01892","LJFBHMDO_01710","FJKEEGCC_01558","LCKBFCAL_02199","GLGINFII_01356"
"bpa","","Bacterial proteasome activator","7","7","1","7","28","","","","524","524","524","IABJFMEL_00331","FNKIIBCC_00793","KLCLGNMD_00780","LJFBHMDO_00276","FJKEEGCC_00499","LCKBFCAL_00317","GLGINFII_00629"
"adhB_2","","Alcohol dehydrogenase B","7","7","1","21","54","","","","1127","1127","1127","IABJFMEL_01916","FNKIIBCC_02021","KLCLGNMD_02350","LJFBHMDO_02747","FJKEEGCC_02621","LCKBFCAL_02644","GLGINFII_02788"
"secY","","Protein translocase subunit SecY","7","7","1","3","66","","","","1325","1325","1325","IABJFMEL_02851","FNKIIBCC_02908","KLCLGNMD_03069","LJFBHMDO_02984","FJKEEGCC_02968","LCKBFCAL_03185","GLGINFII_01655"
"inhA_3","","Isonitrile hydratase","7","7","1","36","16","","","","524","524","524","IABJFMEL_02937","FNKIIBCC_02948","KLCLGNMD_03140","LJFBHMDO_03009","FJKEEGCC_03029","LCKBFCAL_03279","GLGINFII_03339"
"tcrX_2","","putative transcriptional regulatory protein TcrX","7","7","1","19","43","","","","773","773","773","IABJFMEL_02179","FNKIIBCC_02328","KLCLGNMD_01611","LJFBHMDO_01318","FJKEEGCC_01177","LCKBFCAL_01756","GLGINFII_01899"
"group_1334","","putative oxidoreductase","7","7","1","48","13","","","","752","752","752","IABJFMEL_03676","FNKIIBCC_03768","KLCLGNMD_03831","LJFBHMDO_03743","FJKEEGCC_03756","LCKBFCAL_03837","GLGINFII_03839"
"infA","","Translation initiation factor IF-1","7","7","1","32","4","","","","221","221","221","IABJFMEL_02838","FNKIIBCC_02876","KLCLGNMD_03023","LJFBHMDO_02889","FJKEEGCC_02929","LCKBFCAL_03078","GLGINFII_03177"
"group_1336","","hypothetical protein","7","7","1","1","365","","","","722","722","722","IABJFMEL_01733","FNKIIBCC_01817","KLCLGNMD_00920","LJFBHMDO_02148","FJKEEGCC_01894","LCKBFCAL_00577","GLGINFII_00769"
"groL2","","60 kDa chaperonin 2","7","7","1","4","80","","","","1622","1622","1622","IABJFMEL_00940","FNKIIBCC_00473","KLCLGNMD_00436","LJFBHMDO_00552","FJKEEGCC_00683","LCKBFCAL_00814","GLGINFII_00440"
"ilvX","","Putative acetolactate synthase large subunit IlvX","7","7","1","64","1","","","","1547","1547","1547","IABJFMEL_04025","FNKIIBCC_04037","KLCLGNMD_04027","LJFBHMDO_04036","FJKEEGCC_04041","LCKBFCAL_04034","GLGINFII_04026"
